,title,network,imdb_rating,num_imdb_ratings,rt_critic_rating,rt_audience_rating,genres,tv_rating,release_year,runtime_mins,imdb_url
29,Star Trek: Picard,CBS,7.7,30229,87.0,60.0,"['action', 'adventure', 'drama', 'sci-fi']",TV-MA,2020.0,46.0,https://www.imdb.com/title/tt8806524/
30,Black Mirror,Netflix,8.8,392377,83.0,81.0,"['drama', 'sci-fi', 'thriller']",TV-MA,2011.0,60.0,https://www.imdb.com/title/tt2085059/
31,Lucifer,FOX/Netflix ,8.2,190032,87.0,85.0,"['crime', 'drama', 'fantasy']",TV-14,2015.0,42.0,https://www.imdb.com/title/tt4052886/
32,Devs,Hulu,7.9,5097,81.0,69.0,"['drama', 'mystery', 'sci-fi', 'thriller']",TV-MA,2020.0,50.0,https://www.imdb.com/title/tt8134186/
33,Criminal Minds,CBS,8.1,148106,87.0,,"['crime', 'drama', 'mystery', 'thriller']",TV-14,2005.0,42.0,https://www.imdb.com/title/tt0452046/
34,Elite,Netflix,7.6,33723,97.0,88.0,"['crime', 'drama', 'thriller']",TV-MA,2018.0,60.0,https://www.imdb.com/title/tt7134908/
35,The Witcher,Netflix,8.3,242899,67.0,92.0,"['action', 'adventure', 'drama', 'fantasy', 'horror', 'mystery']",TV-MA,2019.0,60.0,https://www.imdb.com/title/tt5180504/
36,Rick and Morty,Cartoon Network,9.2,330309,95.0,94.0,"['animation', 'adventure', 'comedy', 'sci-fi']",TV-14,2013.0,23.0,https://www.imdb.com/title/tt2861424/
37,The Wire,HBO,9.3,263663,94.0,97.0,"['crime', 'drama', 'thriller']",TV-MA,2002.0,59.0,https://www.imdb.com/title/tt0306414/
38,Home Before Dark,Apple TV+,7.6,1430,80.0,95.0,"['crime', 'drama', 'mystery']",TV-14,2020.0,54.0,https://www.imdb.com/title/tt6053512/
39,The Big Show Show,Netflix,6.5,863,84.0,,['comedy'],unrated,2020.0,25.0,https://www.imdb.com/title/tt10726356/
40,The Sopranos,HBO,9.2,273689,92.0,98.0,"['crime', 'drama']",TV-MA,1999.0,55.0,https://www.imdb.com/title/tt0141842/
41,Dark,Netflix,8.7,168730,94.0,94.0,"['crime', 'drama', 'mystery', 'sci-fi', 'thriller']",TV-MA,2017.0,60.0,https://www.imdb.com/title/tt5753856/
42,The Flash,CW,7.7,293837,89.0,71.0,"['action', 'adventure', 'drama', 'sci-fi']",TV-PG,2014.0,43.0,https://www.imdb.com/title/tt3107288/
43,Sex Education,Netflix,8.3,125342,94.0,,"['comedy', 'drama']",TV-MA,2019.0,45.0,https://www.imdb.com/title/tt7767422/
44,Hunters,SyFy,7.2,19577,59.0,,"['crime', 'drama', 'mystery']",TV-MA,2020.0,60.0,https://www.imdb.com/title/tt7456722/
45,Fargo,FX,8.9,297634,96.0,93.0,"['crime', 'drama', 'thriller']",TV-MA,2014.0,53.0,https://www.imdb.com/title/tt2802850/
46,Prison Break,FOX,8.3,448235,60.0,77.0,"['action', 'crime', 'drama', 'mystery', 'thriller']",TV-14,2005.0,44.0,https://www.imdb.com/title/tt0455275/
47,Future Man,Hulu,7.8,17792,91.0,83.0,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi']",TV-MA,2017.0,30.0,https://www.imdb.com/title/tt4975856/
48,Hawaii Five-0,CBS,7.3,64314,72.0,,"['action', 'crime', 'drama']",TV-14,2010.0,42.0,https://www.imdb.com/title/tt1600194/
49,The Outsider,HBO,8.0,41430,82.0,85.0,"['crime', 'drama', 'fantasy', 'mystery', 'thriller']",TV-MA,2020.0,60.0,https://www.imdb.com/title/tt8550800/
50,Law & Order: Special Victims Unit,NBC,8.0,75227,93.0,,"['crime', 'drama', 'mystery', 'thriller']",TV-14,1999.0,60.0,https://www.imdb.com/title/tt0203259/
51,Altered Carbon,Netflix,8.1,129504,76.0,64.0,"['action', 'drama', 'sci-fi', 'thriller']",TV-MA,2018.0,60.0,https://www.imdb.com/title/tt2261227/
52,The Good Doctor,ABC,8.2,54676,85.0,,['drama'],TV-14,2017.0,41.0,https://www.imdb.com/title/tt6470478/
53,Suits,USA,8.5,345074,90.0,86.0,"['comedy', 'drama']",TV-14,2011.0,44.0,https://www.imdb.com/title/tt1632701/
54,The Handmaid's Tale,Hulu,8.5,150533,88.0,77.0,"['drama', 'sci-fi', 'thriller']",TV-MA,2017.0,60.0,https://www.imdb.com/title/tt5834204/
55,Legacies,CW,7.5,14928,84.0,,"['adventure', 'drama', 'fantasy', 'horror', 'mystery']",TV-14,2018.0,45.0,https://www.imdb.com/title/tt8103070/
56,Freud,Netflix,6.6,5575,50.0,,['crime'],TV-MA,2020.0,55.0,https://www.imdb.com/title/tt8667956/
57,How to Get Away with Murder,ABC,8.1,113146,90.0,86.0,"['crime', 'drama', 'mystery', 'thriller']",TV-14,2014.0,43.0,https://www.imdb.com/title/tt3205802/
58,Star Wars: The Clone Wars,Cartoon Network,8.1,47214,93.0,90.0,"['animation', 'action', 'adventure', 'drama', 'fantasy', 'sci-fi']",TV-PG,2008.0,23.0,https://www.imdb.com/title/tt0458290/
59,Shameless,Showtime,8.6,188173,85.0,83.0,"['comedy', 'drama']",TV-MA,2011.0,46.0,https://www.imdb.com/title/tt1586680/
60,Locke & Key,Netflix,7.4,28620,66.0,70.0,"['drama', 'fantasy', 'horror', 'thriller']",TV-14,2020.0,48.0,https://www.imdb.com/title/tt3007572/
61,American Horror Story,FX,8.1,264112,76.0,,"['drama', 'horror', 'thriller']",TV-MA,2011.0,60.0,https://www.imdb.com/title/tt1844624/
62,Mad Men,AMC,8.6,193015,94.0,96.0,['drama'],TV-14,2007.0,47.0,https://www.imdb.com/title/tt0804503/
63,The Crown,Netflix,8.7,109909,89.0,90.0,"['drama', 'history']",TV-MA,2016.0,58.0,https://www.imdb.com/title/tt4786824/
64,Chernobyl,HBO,9.4,442470,96.0,98.0,"['drama', 'history', 'thriller']",TV-MA,2019.0,33.0,https://www.imdb.com/title/tt7366338/
65,NCIS,CBS,7.8,113655,87.0,,"['action', 'crime', 'drama', 'mystery', 'thriller']",TV-14,2003.0,44.0,https://www.imdb.com/title/tt0364845/
66,The 100,CW,7.7,191640,92.0,78.0,"['drama', 'mystery', 'sci-fi']",TV-14,2014.0,43.0,https://www.imdb.com/title/tt2661044/
67,Zoey's Extraordinary Playlist,NBC,7.9,4191,74.0,84.0,"['comedy', 'drama', 'musical']",TV-14,2020.0,60.0,https://www.imdb.com/title/tt10314462/
68,The Rookie,ABC,8.0,15259,68.0,96.0,"['comedy', 'crime', 'drama']",TV-14,2018.0,43.0,https://www.imdb.com/title/tt7587890/
69,This Is Us,NBC,8.7,91313,92.0,85.0,"['comedy', 'drama', 'romance']",TV-14,2016.0,45.0,https://www.imdb.com/title/tt5555260/
70,The Big Bang Theory,CBS,8.1,684180,82.0,81.0,"['comedy', 'romance']",TV-14,2007.0,22.0,https://www.imdb.com/title/tt0898266/
71,True Detective,HBO,9.0,471428,78.0,78.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2014.0,55.0,https://www.imdb.com/title/tt2356777/
72,Sherlock,PBS,9.1,754631,78.0,83.0,"['crime', 'drama', 'mystery', 'thriller']",TV-14,2010.0,88.0,https://www.imdb.com/title/tt1475582/
73,The English Game,Netflix,7.7,6007,50.0,88.0,['sport'],unrated,2020.0,44.0,https://www.imdb.com/title/tt8403664/
74,You,Netflix,7.8,118269,90.0,81.0,"['crime', 'drama', 'romance', 'thriller']",TV-MA,2018.0,45.0,https://www.imdb.com/title/tt7335184/
75,The Simpsons,FOX,8.7,349254,85.0,77.0,"['animation', 'comedy']",TV-PG,1989.0,22.0,https://www.imdb.com/title/tt0096697/
76,Lost,ABC,8.3,472317,85.0,92.0,"['adventure', 'drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']",TV-14,2004.0,44.0,https://www.imdb.com/title/tt0411008/
77,The Boys,CBS,8.7,138556,33.0,,"['action', 'comedy', 'crime', 'sci-fi']",TV-MA,2019.0,60.0,https://www.imdb.com/title/tt1190634/
78,Narcos,Netflix,8.8,325547,89.0,94.0,"['biography', 'crime', 'drama', 'thriller']",TV-MA,2015.0,49.0,https://www.imdb.com/title/tt2707408/
79,The Vampire Diaries,CW,7.7,269768,86.0,84.0,"['drama', 'fantasy', 'horror', 'mystery', 'romance', 'thriller']",TV-14,2009.0,43.0,https://www.imdb.com/title/tt1405406/
80,Manifest,NBC,7.2,19120,57.0,76.0,"['drama', 'mystery']",TV-14,2018.0,43.0,https://www.imdb.com/title/tt8421350/
81,Chicago P.D.,NBC,8.1,25162,85.0,,"['action', 'crime', 'drama', 'thriller']",TV-14,2014.0,43.0,https://www.imdb.com/title/tt2805096/
82,How I Met Your Mother,CBS,8.3,569198,83.0,83.0,"['comedy', 'romance']",TV-14,2005.0,22.0,https://www.imdb.com/title/tt0460649/
83,Parks and Recreation,NBC,8.6,193018,92.0,91.0,['comedy'],TV-14,2009.0,22.0,https://www.imdb.com/title/tt1266020/
84,Riverdale,CW,7.0,104168,86.0,59.0,"['crime', 'drama', 'mystery', 'romance']",TV-14,2017.0,45.0,https://www.imdb.com/title/tt5420376/
85,Sons of Anarchy,FX,8.6,241891,87.0,91.0,"['crime', 'drama', 'thriller']",TV-MA,2008.0,45.0,https://www.imdb.com/title/tt1124373/
86,Chicago Fire,NBC,7.9,32900,81.0,,"['action', 'drama']",TV-14,2012.0,43.0,https://www.imdb.com/title/tt2261391/
87,Arrow,CW,7.6,397565,85.0,71.0,"['action', 'adventure', 'crime', 'drama', 'mystery', 'sci-fi']",TV-14,2012.0,42.0,https://www.imdb.com/title/tt2193021/
88,The Stranger,Netflix,7.4,23524,83.0,,"['mystery', 'thriller']",TV-MA,2020.0,42.0,https://www.imdb.com/title/tt9698480/
89,Succession,HBO,8.5,25684,92.0,92.0,['drama'],TV-MA,2018.0,60.0,https://www.imdb.com/title/tt7660850/
90,House M.D.,FOX,8.7,394820,90.0,96.0,"['drama', 'mystery']",TV-14,2004.0,44.0,https://www.imdb.com/title/tt0412142/
91,Good Girls,NBC,7.9,24826,87.0,85.0,"['comedy', 'crime', 'drama']",TV-14,2018.0,43.0,https://www.imdb.com/title/tt6474378/
92,The Sinner,USA,8.0,71695,95.0,75.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2017.0,45.0,https://www.imdb.com/title/tt6048596/
93,Curb Your Enthusiasm,HBO,8.7,94907,92.0,96.0,['comedy'],TV-MA,2000.0,28.0,https://www.imdb.com/title/tt0264235/
94,Jack Ryan,Amazon Prime Video,8.1,77617,71.0,71.0,"['action', 'drama', 'thriller']",TV-MA,2018.0,60.0,https://www.imdb.com/title/tt5057054/
95,Psych,USA,8.3,80457,89.0,92.0,"['comedy', 'crime', 'mystery']",TV-PG,2006.0,44.0,https://www.imdb.com/title/tt0491738/
96,The Expanse,SyFy (Seasons 1-3); Amazon Studios,8.5,89785,93.0,96.0,"['drama', 'mystery', 'sci-fi', 'thriller']",TV-14,2015.0,60.0,https://www.imdb.com/title/tt3230854/
97,Mr. Robot,USA,8.5,310388,94.0,94.0,"['crime', 'drama', 'thriller']",TV-MA,2015.0,49.0,https://www.imdb.com/title/tt4158110/
98,Planet Earth II,BBC America,9.5,86650,100.0,97.0,['documentary'],TV-G,2016.0,29.0,https://www.imdb.com/title/tt5491994/
99,Planet Earth,Discovery Channel,9.4,158876,95.0,100.0,['documentary'],TV-PG,2006.0,53.0,https://www.imdb.com/title/tt0795176/
100,Band of Brothers,HBO,9.4,349246,94.0,98.0,"['action', 'drama', 'history', 'war']",TV-MA,2001.0,59.0,https://www.imdb.com/title/tt0185906/
101,Blue Planet II,BBC America,9.3,28145,97.0,89.0,['documentary'],TV-G,2017.0,36.0,https://www.imdb.com/title/tt6769208/
102,Our Planet,Netflix,9.3,23829,93.0,92.0,['documentary'],TV-G,2019.0,40.0,https://www.imdb.com/title/tt9253866/
103,Avatar: The Last Airbender,Nickelodeon,9.2,211267,100.0,99.0,"['animation', 'action', 'adventure', 'family', 'fantasy', 'mystery']",TV-Y7,2005.0,23.0,https://www.imdb.com/title/tt0417299/
104,The World at War,ITV,9.1,20410,100.0,,"['documentary', 'history', 'war']",TV-PG,1973.0,52.0,https://www.imdb.com/title/tt0071075/
105,Life,NBC,9.1,36412,70.0,88.0,['documentary'],TV-G,2009.0,47.0,https://www.imdb.com/title/tt1533395/
106,The Vietnam War,PBS,9.1,16728,96.0,96.0,"['documentary', 'history', 'war']",TV-MA,2017.0,99.0,https://www.imdb.com/title/tt1877514/
107,Fullmetal Alchemist: Brotherhood,Cartoon Network,9.1,102557,100.0,94.0,"['animation', 'action', 'adventure', 'comedy', 'drama', 'fantasy', 'sci-fi']",TV-14,2009.0,24.0,https://www.imdb.com/title/tt1355642/
108,The Twilight Zone,CBS,9.0,66360,82.0,96.0,"['drama', 'fantasy', 'horror', 'mystery', 'sci-fi', 'thriller']",TV-PG,1959.0,51.0,https://www.imdb.com/title/tt0052520/
109,Batman: The Animated Series,FOX,9.0,81342,95.0,98.0,"['animation', 'action', 'adventure', 'family', 'sci-fi']",TV-PG,1992.0,23.0,https://www.imdb.com/title/tt0103359/
110,Firefly,Fox/Sci Fi,9.0,235211,76.0,97.0,"['adventure', 'drama', 'sci-fi']",TV-14,2002.0,44.0,https://www.imdb.com/title/tt0303461/
111,Dekalog,BBC,9.0,20117,97.0,95.0,['drama'],TV-MA,1989.0,57.0,https://www.imdb.com/title/tt0092337/
112,Death Note,Cartoon Network,8.9,206493,100.0,96.0,"['animation', 'crime', 'drama', 'fantasy', 'mystery', 'thriller']",TV-14,2006.0,24.0,https://www.imdb.com/title/tt0877057/
113,Cowboy Bebop,Cartoon Network,8.9,81811,100.0,96.0,"['animation', 'action', 'adventure', 'drama', 'sci-fi', 'thriller']",TV-14,1998.0,24.0,https://www.imdb.com/title/tt0213338/
114,Africa,BBC UK,8.9,13070,94.0,,['documentary'],unrated,2013.0,36.0,https://www.imdb.com/title/tt2571774/
115,When They See Us,Netflix,8.9,67742,96.0,91.0,"['biography', 'crime', 'drama', 'history']",TV-MA,2019.0,29.0,https://www.imdb.com/title/tt7137906/
116,Last Week Tonight with John Oliver,HBO,8.9,73597,98.0,88.0,"['comedy', 'news', 'talk-show']",TV-MA,2014.0,30.0,https://www.imdb.com/title/tt3530232/
117,Only Fools and Horses....,BBC One,8.8,43752,100.0,,['comedy'],TV-PG,1981.0,30.0,https://www.imdb.com/title/tt0081912/
118,Hunter x Hunter,Crunchyroll ,8.8,43239,94.0,,"['animation', 'action', 'adventure', 'comedy', 'fantasy']",TV-14,2011.0,24.0,https://www.imdb.com/title/tt2098220/
119,Monty Python's Flying Circus,BBC,8.8,64011,100.0,91.0,['comedy'],TV-14,1969.0,30.0,https://www.imdb.com/title/tt0063929/
120,Das Boot,Hulu,8.8,24572,85.0,78.0,"['drama', 'thriller', 'war']",TV-MA,1985.0,50.0,https://www.imdb.com/title/tt0081834/
121,Seinfeld,NBC,8.8,239513,88.0,95.0,['comedy'],TV-PG,1989.0,22.0,https://www.imdb.com/title/tt0098904/
122,Pride and Prejudice,BBC One,8.8,71732,88.0,95.0,"['drama', 'romance']",TV-PG,1995.0,32.0,https://www.imdb.com/title/tt0112130/
123,Gravity Falls,Disney,8.8,62530,100.0,97.0,"['animation', 'action', 'adventure', 'comedy', 'family', 'fantasy', 'mystery', 'sci-fi']",TV-Y7,2012.0,23.0,https://www.imdb.com/title/tt1865718/
124,Twin Peaks,ABC/Showtime,8.8,164116,89.0,89.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,1990.0,47.0,https://www.imdb.com/title/tt0098936/
125,Over the Garden Wall,Cartoon Network,8.8,34460,91.0,99.0,"['animation', 'adventure', 'drama', 'family', 'fantasy', 'horror', 'mystery', 'thriller']",TV-PG,2014.0,11.0,https://www.imdb.com/title/tt3718778/
126,One Punch Man,Netflix (season 1); Hulu,8.8,99973,100.0,96.0,"['animation', 'action', 'comedy', 'fantasy', 'sci-fi']",TV-PG,2015.0,24.0,https://www.imdb.com/title/tt4508902/
127,Nathan for You,Comedy Central,8.8,16218,97.0,94.0,"['documentary', 'comedy']",TV-14,2013.0,30.0,https://www.imdb.com/title/tt2297757/
128,Blackadder Goes Forth,BBC One,8.7,46162,100.0,100.0,"['comedy', 'war']",TV-PG,1989.0,17.0,https://www.imdb.com/title/tt0096548/
129,Freaks and Geeks,NBC,8.7,123427,100.0,95.0,"['comedy', 'drama']",TV-14,1999.0,44.0,https://www.imdb.com/title/tt0193676/
130,Fawlty Towers,BBC Two,8.7,80669,100.0,92.0,['comedy'],TV-PG,1975.0,30.0,https://www.imdb.com/title/tt0072500/
131,Arrested Development,Netflix,8.7,265792,75.0,81.0,['comedy'],TV-14,2003.0,22.0,https://www.imdb.com/title/tt0367279/
132,Attack on Titan,Netflix/Cartoon Network/Funimation,8.7,137508,94.0,93.0,"['animation', 'action', 'adventure', 'drama', 'fantasy', 'horror']",TV-MA,2013.0,24.0,https://www.imdb.com/title/tt2560140/
133,Chappelle's Show,Comedy Central,8.7,50193,96.0,100.0,"['comedy', 'music']",TV-MA,2003.0,22.0,https://www.imdb.com/title/tt0353049/
134,It's Always Sunny in Philadelphia,"FX (seasons 1-8), FXX",8.7,180295,96.0,93.0,['comedy'],TV-MA,2005.0,22.0,https://www.imdb.com/title/tt0472954/
135,Rome,HBO,8.7,147871,85.0,98.0,"['action', 'drama', 'history', 'romance', 'war']",TV-MA,2005.0,52.0,https://www.imdb.com/title/tt0384766/
136,House of Cards,Netflix,8.7,448383,77.0,76.0,['drama'],TV-MA,2013.0,51.0,https://www.imdb.com/title/tt1856010/
137,Oz,HBO,8.7,85006,89.0,91.0,"['crime', 'drama', 'thriller']",TV-MA,1997.0,55.0,https://www.imdb.com/title/tt0118421/
138,The West Wing,NBC,8.7,58992,75.0,95.0,['drama'],TV-14,1999.0,44.0,https://www.imdb.com/title/tt0200276/
139,Steins;Gate,AT-X,8.7,37748,100.0,98.0,"['animation', 'comedy', 'drama', 'romance', 'sci-fi', 'thriller']",TV-14,2011.0,24.0,https://www.imdb.com/title/tt1910272/
140,Dragon Ball Z,Syndicated,8.7,107061,91.0,,"['animation', 'action', 'adventure', 'fantasy', 'sci-fi', 'thriller']",TV-PG,1996.0,24.0,https://www.imdb.com/title/tt0214341/
141,Cobra Kai,YouTube Premium,8.7,39529,94.0,97.0,"['action', 'comedy', 'drama', 'sport']",TV-14,2018.0,30.0,https://www.imdb.com/title/tt7221388/
142,"I, Claudius",PBS,8.7,14977,100.0,80.0,"['biography', 'drama', 'history']",unrated,1976.0,65.0,https://www.imdb.com/title/tt0074006/
143,The Marvelous Mrs. Maisel,Amazon,8.7,65756,89.0,87.0,"['comedy', 'drama']",TV-MA,2017.0,57.0,https://www.imdb.com/title/tt5788792/
144,One Strange Rock,NGC,8.7,5502,83.0,93.0,['documentary'],TV-PG,2018.0,47.0,https://www.imdb.com/title/tt7651892/
145,Fleabag,Amazon Prime Video,8.7,67933,100.0,93.0,"['comedy', 'drama']",TV-MA,2016.0,27.0,https://www.imdb.com/title/tt5687612/
146,The Jinx: The Life and Deaths of Robert Durst,HBO,8.7,36320,95.0,97.0,"['documentary', 'crime']",TV-14,2015.0,27.0,https://www.imdb.com/title/tt4299972/
147,The Adventures of Sherlock Holmes,PBS,8.7,18823,100.0,,"['crime', 'drama', 'mystery']",TV-PG,1984.0,60.0,https://www.imdb.com/title/tt0086661/
148,Six Feet Under,HBO,8.7,115245,81.0,97.0,"['comedy', 'drama']",TV-MA,2001.0,55.0,https://www.imdb.com/title/tt0248654/
149,The Thick of It,BBC,8.6,18987,85.0,96.0,['comedy'],TV-MA,2005.0,29.0,https://www.imdb.com/title/tt0459159/
150,Justice League Unlimited,Cartoon Network,8.6,8399,96.0,,"['animation', 'action', 'adventure', 'fantasy', 'sci-fi']",TV-Y7,2004.0,23.0,https://www.imdb.com/title/tt6025022/
151,South Park,Comedy Central,8.6,317589,81.0,88.0,"['animation', 'comedy']",TV-MA,1997.0,22.0,https://www.imdb.com/title/tt0121955/
152,BoJack Horseman,Netflix,8.6,93131,93.0,95.0,"['animation', 'comedy', 'drama']",TV-MA,2014.0,25.0,https://www.imdb.com/title/tt3398228/
153,Demon Slayer: Kimetsu No Yaiba,Hulu,8.6,10861,89.0,,"['animation', 'action', 'fantasy', 'thriller']",TV-MA,2019.0,25.0,https://www.imdb.com/title/tt9335498/
154,The Promised Neverland,Aniplex,8.6,8864,100.0,,"['animation', 'fantasy', 'horror', 'mystery', 'sci-fi', 'thriller']",TV-14,2019.0,30.0,https://www.imdb.com/title/tt8788458/
155,Battlestar Galactica,SyFy,8.6,146726,95.0,93.0,"['action', 'adventure', 'drama', 'sci-fi']",TV-14,2004.0,44.0,https://www.imdb.com/title/tt0407362/
156,Top Gear,BBCA,8.6,104959,71.0,,['talk-show'],TV-PG,2002.0,60.0,https://www.imdb.com/title/tt1628033/
157,The Shield,FX,8.6,68651,90.0,96.0,"['crime', 'drama', 'thriller']",TV-MA,2002.0,47.0,https://www.imdb.com/title/tt0286486/
158,The Haunting of Hill House,Netflix,8.6,142565,93.0,91.0,"['drama', 'horror', 'mystery', 'thriller']",TV-MA,2018.0,50.0,https://www.imdb.com/title/tt6763664/
159,Deadwood,HBO,8.6,89915,92.0,96.0,"['crime', 'drama', 'history', 'western']",TV-MA,2004.0,55.0,https://www.imdb.com/title/tt0348914/
160,The Grand Tour,Amazon,8.6,59210,69.0,95.0,"['comedy', 'talk-show']",TV-14,2016.0,60.0,https://www.imdb.com/title/tt5712554/
161,Downton Abbey,PBS,8.6,152727,86.0,95.0,"['drama', 'romance']",TV-PG,2010.0,58.0,https://www.imdb.com/title/tt1606375/
162,Lonesome Dove,CBS,8.6,19459,100.0,,"['adventure', 'drama', 'western']",TV-14,1989.0,38.0,https://www.imdb.com/title/tt0096639/
163,Berserk,Nippon Television,8.6,26056,93.0,,"['animation', 'action', 'adventure', 'fantasy', 'horror', 'romance']",TV-14,1997.0,23.0,https://www.imdb.com/title/tt0318871/
164,Blackadder II,BBC One,8.6,41091,100.0,,['comedy'],TV-PG,1986.0,17.0,https://www.imdb.com/title/tt0088484/
165,Bron/Broen,SVT,8.6,53646,95.0,,"['crime', 'mystery', 'thriller']",TV-MA,2011.0,60.0,https://www.imdb.com/title/tt1733785/
166,The X-Files,FOX,8.6,190531,74.0,85.0,"['crime', 'drama', 'mystery', 'sci-fi', 'thriller']",TV-14,1993.0,45.0,https://www.imdb.com/title/tt0106179/
167,Star Trek: The Next Generation,SYN,8.6,93634,89.0,89.0,"['action', 'adventure', 'mystery', 'sci-fi']",TV-PG,1987.0,44.0,https://www.imdb.com/title/tt0092455/
168,Archer,FX,8.6,130732,91.0,86.0,"['animation', 'action', 'comedy']",TV-MA,2009.0,22.0,https://www.imdb.com/title/tt1486217/
169,Atlanta,FX,8.6,45280,97.0,89.0,"['comedy', 'drama', 'music']",TV-MA,2016.0,30.0,https://www.imdb.com/title/tt4288182/
